,Date,Value,ValueNew
612,2018-02-03,,19.272727272727273
613,2018-02-04,,19.636363636363637
614,2018-02-05,20.0,20.0
615,2018-02-06,,19.428571428571427
616,2018-02-07,,18.857142857142858
617,2018-02-08,,18.285714285714285
618,2018-02-09,,17.714285714285715
619,2018-02-10,,17.142857142857142
620,2018-02-11,,16.571428571428573
621,2018-02-12,16.0,16.0
622,2018-02-13,,17.857142857142858
623,2018-02-14,,19.714285714285715
624,2018-02-15,,21.57142857142857
625,2018-02-16,,23.42857142857143
626,2018-02-17,,25.285714285714285
627,2018-02-18,,27.142857142857142
628,2018-02-19,29.0,29.0
629,2018-02-20,,27.857142857142858
630,2018-02-21,,26.714285714285715
631,2018-02-22,,25.571428571428573
632,2018-02-23,,24.42857142857143
633,2018-02-24,,23.285714285714285
634,2018-02-25,,22.142857142857142
635,2018-02-26,21.0,21.0
636,2018-02-27,,21.571428571428573
637,2018-02-28,,22.142857142857142
638,2018-03-01,,22.714285714285715
639,2018-03-02,,23.285714285714285
640,2018-03-03,,23.857142857142858
641,2018-03-04,,24.428571428571427
642,2018-03-05,25.0,25.0
643,2018-03-06,,25.571428571428573
644,2018-03-07,,26.142857142857142
645,2018-03-08,,26.714285714285715
646,2018-03-09,,27.285714285714285
647,2018-03-10,,27.857142857142858
648,2018-03-11,,28.428571428571427
649,2018-03-12,29.0,29.0
650,2018-03-13,,28.857142857142858
651,2018-03-14,,28.714285714285715
652,2018-03-15,,28.571428571428573
653,2018-03-16,,28.428571428571427
654,2018-03-17,,28.285714285714285
655,2018-03-18,,28.142857142857142
656,2018-03-19,28.0,28.0
657,2018-03-20,,28.142857142857142
658,2018-03-21,,28.285714285714285
659,2018-03-22,,28.428571428571427
660,2018-03-23,,28.571428571428573
661,2018-03-24,,28.714285714285715
662,2018-03-25,,28.857142857142858
663,2018-03-26,29.0,29.0
664,2018-03-27,,29.7
665,2018-03-28,,30.4
666,2018-03-29,,31.1
667,2018-03-30,,31.8
668,2018-03-31,,32.5
669,2018-04-01,,33.2
670,2018-04-02,,33.9
671,2018-04-03,,34.6
672,2018-04-04,,35.3
673,2018-04-05,36.0,36.0
674,2018-04-06,,36.42857142857143
675,2018-04-07,,36.857142857142854
676,2018-04-08,,37.285714285714285
677,2018-04-09,,37.714285714285715
678,2018-04-10,,38.142857142857146
679,2018-04-11,,38.57142857142857
680,2018-04-12,39.0,39.0
681,2018-04-13,,39.0
682,2018-04-14,,39.0
683,2018-04-15,,39.0
684,2018-04-16,,39.0
685,2018-04-17,,39.0
686,2018-04-18,,39.0
687,2018-04-19,,39.0
688,2018-04-20,,39.0
689,2018-04-21,,39.0
690,2018-04-22,,39.0
691,2018-04-23,,39.0
692,2018-04-24,,39.0
693,2018-04-25,,39.0
694,2018-04-26,,39.0
695,2018-04-27,,39.0
696,2018-04-28,,39.0
697,2018-04-29,,39.0
698,2018-04-30,,39.0
699,2018-05-01,,39.0
700,2018-05-02,,39.0
701,2018-05-03,,39.0
702,2018-05-04,,39.0
703,2018-05-05,,39.0
704,2018-05-06,,39.0
705,2018-05-07,,39.0
706,2018-05-08,,39.0
707,2018-05-09,,39.0
708,2018-05-10,,39.0
709,2018-05-11,,39.0
710,2018-05-12,,39.0
711,2018-05-13,,39.0
712,2018-05-14,,39.0
713,2018-05-15,,39.0
714,2018-05-16,,39.0
